Gene	logFC	pAdj	Compartment	Cell Type
ANXA2	6.52E-01	1.70E-07	Peripheral blood	CTL
MYO1G	4.95E-01	1.76E-07	Peripheral blood	CTL
KRT72	4.31E-01	2.56E-07	Peripheral blood	CTL
CTBP1	4.43E-01	2.88E-07	Peripheral blood	CTL
OSBPL5	3.95E-01	3.63E-07	Peripheral blood	CTL
ARHGAP25	6.05E-01	3.91E-07	Peripheral blood	CTL
SERPINB6	7.05E-01	4.64E-07	Peripheral blood	CTL
MBP	7.13E-01	5.55E-07	Peripheral blood	CTL
TLN1	6.48E-01	5.72E-07	Peripheral blood	CTL
SLAMF7	5.50E-01	6.36E-07	Peripheral blood	CTL
CFL1	3.03E-01	6.43E-07	Peripheral blood	CTL
RAB1B	5.15E-01	7.68E-07	Peripheral blood	CTL
LILRB1	5.59E-01	7.93E-07	Peripheral blood	CTL
S1PR1	6.45E-01	7.96E-07	Peripheral blood	CTL
RNF166	3.85E-01	1.44E-06	Peripheral blood	CTL
SH2D1A	6.52E-01	1.46E-06	Peripheral blood	CTL
JAKMIP1	4.57E-01	1.58E-06	Peripheral blood	CTL
CCL3	3.71E-01	1.76E-06	Peripheral blood	CTL
UCP2	5.41E-01	1.79E-06	Peripheral blood	CTL
HLA.B	3.39E-01	2.25E-06	Peripheral blood	CTL
ARRDC3	2.85E-01	2.66E-06	Peripheral blood	CTL
ADGRE5	6.15E-01	2.81E-06	Peripheral blood	CTL
APMAP	6.46E-01	4.76E-06	Peripheral blood	CTL
PREX1	3.87E-01	5.17E-06	Peripheral blood	CTL
CLIC1	5.10E-01	5.76E-06	Peripheral blood	CTL
H6PD	3.70E-01	6.76E-06	Peripheral blood	CTL
ADAP1	5.15E-01	6.96E-06	Peripheral blood	CTL
CHST12	5.31E-01	7.11E-06	Peripheral blood	CTL
FAM49A	5.32E-01	7.18E-06	Peripheral blood	CTL
MRFAP1L1	5.27E-01	7.47E-06	Peripheral blood	CTL
STARD3NL	6.37E-01	8.76E-06	Peripheral blood	CTL
CYBA	5.36E-01	8.83E-06	Peripheral blood	CTL
PARP8	3.91E-01	9.71E-06	Peripheral blood	CTL
MATK	6.05E-01	9.90E-06	Peripheral blood	CTL
CMKLR1	3.10E-01	1.19E-05	Peripheral blood	CTL
CD99	5.20E-01	1.38E-05	Peripheral blood	CTL
FCRL3	4.54E-01	1.49E-05	Peripheral blood	CTL
S100A4	5.82E-01	2.45E-05	Peripheral blood	CTL
STK38	6.01E-01	2.61E-05	Peripheral blood	CTL
ARRB2	3.67E-01	3.14E-05	Peripheral blood	CTL
MYL6	3.46E-01	3.67E-05	Peripheral blood	CTL
FBXW5	5.10E-01	4.19E-05	Peripheral blood	CTL
LGR6	3.04E-01	5.76E-05	Peripheral blood	CTL
GNAI2	6.15E-01	6.63E-05	Peripheral blood	CTL
PRMT2	3.28E-01	6.89E-05	Peripheral blood	CTL
TYROBP	7.17E-01	7.66E-05	Peripheral blood	CTL
ABI3	4.90E-01	8.59E-05	Peripheral blood	CTL
HCLS1	4.12E-01	9.20E-05	Peripheral blood	CTL
TFEB	4.55E-01	9.88E-05	Peripheral blood	CTL
PTPRC	3.98E-01	1.07E-04	Peripheral blood	CTL
CDC25B	3.44E-01	1.07E-04	Peripheral blood	CTL
IL10RA	4.03E-01	1.08E-04	Peripheral blood	CTL
SELPLG	3.53E-01	1.11E-04	Peripheral blood	CTL
DGKZ	3.95E-01	1.28E-04	Peripheral blood	CTL
TES	4.89E-01	1.31E-04	Peripheral blood	CTL
CEP78	6.67E-01	1.40E-04	Peripheral blood	CTL
STAT6	4.51E-01	1.48E-04	Peripheral blood	CTL
TTC38	6.77E-01	1.63E-04	Peripheral blood	CTL
KCNAB2	7.16E-01	2.38E-04	Peripheral blood	CTL
NLRP1	4.91E-01	2.44E-04	Peripheral blood	CTL
FUT11	6.25E-01	2.70E-04	Peripheral blood	CTL
MYBL1	5.47E-01	2.79E-04	Peripheral blood	CTL
MSN	5.99E-01	2.79E-04	Peripheral blood	CTL
CD52	3.09E-01	2.79E-04	Peripheral blood	CTL
UQCRB	4.26E-01	4.42E-04	Peripheral blood	CTL
SEPT7	5.15E-01	4.48E-04	Peripheral blood	CTL
CDKN2D	6.33E-01	5.90E-04	Peripheral blood	CTL
HNRNPD	3.12E-01	7.07E-04	Peripheral blood	CTL
BTN3A2	3.10E-01	8.20E-04	Peripheral blood	CTL
CYTOR	2.67E-01	8.53E-04	Peripheral blood	CTL
CASP8	6.50E-01	8.95E-04	Peripheral blood	CTL
CD63	5.35E-01	9.97E-04	Peripheral blood	CTL
FADS2	3.98E-01	1.06E-03	Peripheral blood	CTL
AKNA	5.57E-01	1.28E-03	Peripheral blood	CTL
RASA3	5.11E-01	1.30E-03	Peripheral blood	CTL
DPP7	3.20E-01	1.37E-03	Peripheral blood	CTL
LLGL2	4.21E-01	1.39E-03	Peripheral blood	CTL
NPRL2	5.11E-01	1.39E-03	Peripheral blood	CTL
PSMB8	4.32E-01	1.40E-03	Peripheral blood	CTL
ADAM8	3.64E-01	1.70E-03	Peripheral blood	CTL
PRKCB	4.20E-01	1.97E-03	Peripheral blood	CTL
STK10	5.37E-01	2.11E-03	Peripheral blood	CTL
S100A10	4.09E-01	2.49E-03	Peripheral blood	CTL
RHOA	3.43E-01	2.55E-03	Peripheral blood	CTL
ANKRD36BP1	3.31E-01	2.71E-03	Peripheral blood	CTL
ZAP70	4.27E-01	2.84E-03	Peripheral blood	CTL
DSTN	3.42E-01	3.08E-03	Peripheral blood	CTL
PRELID1	4.10E-01	3.28E-03	Peripheral blood	CTL
PTP4A2	3.61E-01	3.98E-03	Peripheral blood	CTL
DLG5	3.29E-01	4.38E-03	Peripheral blood	CTL
SAMHD1	2.98E-01	5.31E-03	Peripheral blood	CTL
RP11.222K16.2	4.02E-01	5.50E-03	Peripheral blood	CTL
GSE1	3.72E-01	5.59E-03	Peripheral blood	CTL
ARPC5L	4.34E-01	6.59E-03	Peripheral blood	CTL
MIR4435.2HG	3.80E-01	6.86E-03	Peripheral blood	CTL
LYPLA2	3.00E-01	7.59E-03	Peripheral blood	CTL
MTATP6P1	3.80E-01	9.73E-03	Peripheral blood	CTL
ARHGAP30	3.22E-01	1.04E-02	Peripheral blood	CTL
PGAM1	3.34E-01	1.15E-02	Peripheral blood	CTL
SLC25A20	4.36E-01	1.16E-02	Peripheral blood	CTL
CYTH1	3.06E-01	1.17E-02	Peripheral blood	CTL
RNF213	2.69E-01	1.17E-02	Peripheral blood	CTL
SYTL1	5.87E-01	1.32E-02	Peripheral blood	CTL
GAB3	5.56E-01	1.38E-02	Peripheral blood	CTL
ACTB	2.86E-01	1.47E-02	Peripheral blood	CTL
TPM3	4.14E-01	1.54E-02	Peripheral blood	CTL
ATM	3.20E-01	1.58E-02	Peripheral blood	CTL
BROX	2.70E-01	1.66E-02	Peripheral blood	CTL
TTC16	5.03E-01	1.73E-02	Peripheral blood	CTL
STX10	4.71E-01	1.88E-02	Peripheral blood	CTL
PIK3R5	4.01E-01	1.94E-02	Peripheral blood	CTL
ARHGEF1	3.85E-01	1.96E-02	Peripheral blood	CTL
CAPN2	4.79E-01	1.97E-02	Peripheral blood	CTL
MTND4P12	2.70E-01	2.08E-02	Peripheral blood	CTL
PRKCH	3.21E-01	2.47E-02	Peripheral blood	CTL
FAM65B	3.11E-01	2.63E-02	Peripheral blood	CTL
STARD7	4.03E-01	2.75E-02	Peripheral blood	CTL
IL2RB	4.62E-01	2.78E-02	Peripheral blood	CTL
MOB3A	3.54E-01	2.93E-02	Peripheral blood	CTL
ACTN4	5.91E-01	3.02E-02	Peripheral blood	CTL
SLC2A1	4.24E-01	3.22E-02	Peripheral blood	CTL
F2R	3.31E-01	3.40E-02	Peripheral blood	CTL
FAM49B	4.98E-01	3.78E-02	Peripheral blood	CTL
ANKRD20A11P	2.99E-01	4.46E-02	Peripheral blood	CTL
RGS9	3.54E-01	4.52E-02	Peripheral blood	CTL
RPS27L	3.91E-01	4.65E-02	Peripheral blood	CTL
C11orf21	4.50E-01	4.68E-02	Peripheral blood	CTL
TAF10	4.29E-01	4.70E-02	Peripheral blood	CTL
CCL5	1.14E+00	1.70E-120	Intestinal mucosa	CTL
CD160	1.51E+00	3.82E-70	Intestinal mucosa	CTL
TMSB4XP8	4.07E-01	3.00E-51	Intestinal mucosa	CTL
ADRB1	1.06E+00	1.67E-43	Intestinal mucosa	CTL
XCL1	5.67E-01	4.30E-42	Intestinal mucosa	CTL
XCL2	7.25E-01	9.84E-42	Intestinal mucosa	CTL
CD8A	1.06E+00	2.59E-40	Intestinal mucosa	CTL
ITGA1	8.30E-01	9.88E-40	Intestinal mucosa	CTL
CKLF	8.62E-01	8.94E-38	Intestinal mucosa	CTL
TMSB4X	2.84E-01	6.70E-35	Intestinal mucosa	CTL
OSTF1	6.24E-01	3.04E-34	Intestinal mucosa	CTL
CD3G	3.80E-01	5.68E-34	Intestinal mucosa	CTL
RNF122	3.92E-01	2.21E-33	Intestinal mucosa	CTL
PDCD4	5.63E-01	8.45E-33	Intestinal mucosa	CTL
PLEKHF1	9.59E-01	1.23E-30	Intestinal mucosa	CTL
CAPG	7.33E-01	4.69E-29	Intestinal mucosa	CTL
CD2	7.03E-01	3.48E-27	Intestinal mucosa	CTL
TMIGD2	8.13E-01	1.49E-26	Intestinal mucosa	CTL
ITM2C	9.05E-01	4.59E-26	Intestinal mucosa	CTL
STK17B	3.61E-01	3.95E-25	Intestinal mucosa	CTL
CDV3	6.28E-01	1.38E-24	Intestinal mucosa	CTL
STOM	8.13E-01	1.40E-24	Intestinal mucosa	CTL
ABI3	9.20E-01	1.18E-22	Intestinal mucosa	CTL
ITGAE	7.97E-01	6.31E-21	Intestinal mucosa	CTL
CD8B	8.02E-01	3.58E-20	Intestinal mucosa	CTL
ALOX5AP	7.42E-01	7.43E-20	Intestinal mucosa	CTL
RGL4	7.22E-01	2.34E-19	Intestinal mucosa	CTL
CD3D	5.01E-01	4.40E-19	Intestinal mucosa	CTL
SMURF2	6.71E-01	9.98E-19	Intestinal mucosa	CTL
PIP4K2A	2.95E-01	1.05E-18	Intestinal mucosa	CTL
MBOAT1	4.94E-01	1.66E-17	Intestinal mucosa	CTL
NMUR1	5.68E-01	3.30E-17	Intestinal mucosa	CTL
PSD4	5.64E-01	1.03E-16	Intestinal mucosa	CTL
PTPN22	6.44E-01	3.55E-16	Intestinal mucosa	CTL
SCUBE1	4.85E-01	3.77E-16	Intestinal mucosa	CTL
ABCA1	6.83E-01	3.94E-16	Intestinal mucosa	CTL
CAPZA1	2.86E-01	3.11E-14	Intestinal mucosa	CTL
MIAT	6.52E-01	1.73E-13	Intestinal mucosa	CTL
CCR9	4.96E-01	5.88E-13	Intestinal mucosa	CTL
CXCR6	8.95E-01	6.63E-13	Intestinal mucosa	CTL
CTC.425F1.4	3.26E-01	1.90E-12	Intestinal mucosa	CTL
SLAMF7	7.15E-01	2.28E-12	Intestinal mucosa	CTL
TLE3	4.26E-01	3.52E-12	Intestinal mucosa	CTL
APOBEC3C	3.44E-01	1.26E-11	Intestinal mucosa	CTL
RP11.94L15.2	6.82E-01	2.13E-11	Intestinal mucosa	CTL
SAR1A	2.89E-01	4.62E-11	Intestinal mucosa	CTL
DENND2D	4.37E-01	6.73E-11	Intestinal mucosa	CTL
COTL1	5.56E-01	1.49E-10	Intestinal mucosa	CTL
MDM4	4.08E-01	6.94E-10	Intestinal mucosa	CTL
JAML	5.38E-01	7.68E-10	Intestinal mucosa	CTL
SLC7A8	3.36E-01	9.89E-10	Intestinal mucosa	CTL
CYBA	3.42E-01	1.25E-09	Intestinal mucosa	CTL
AUTS2	4.64E-01	2.15E-09	Intestinal mucosa	CTL
CALR	2.61E-01	7.04E-09	Intestinal mucosa	CTL
AFAP1L2	3.57E-01	9.01E-09	Intestinal mucosa	CTL
TBL1XR1	3.72E-01	1.20E-08	Intestinal mucosa	CTL
CD3E	3.21E-01	1.93E-08	Intestinal mucosa	CTL
RHOC	6.53E-01	1.99E-08	Intestinal mucosa	CTL
CD244	4.98E-01	2.06E-08	Intestinal mucosa	CTL
DAPK2	5.92E-01	2.83E-08	Intestinal mucosa	CTL
TRAC	3.19E-01	2.98E-08	Intestinal mucosa	CTL
CD96	3.60E-01	4.43E-08	Intestinal mucosa	CTL
KLRB1	3.78E-01	5.35E-08	Intestinal mucosa	CTL
MIDN	4.30E-01	2.67E-07	Intestinal mucosa	CTL
YWHAH	6.03E-01	5.21E-07	Intestinal mucosa	CTL
AC092580.4	5.70E-01	5.41E-07	Intestinal mucosa	CTL
SEPT1	3.04E-01	1.41E-06	Intestinal mucosa	CTL
PPP3CA	3.09E-01	1.48E-06	Intestinal mucosa	CTL
FASLG	6.39E-01	8.39E-06	Intestinal mucosa	CTL
CD248	3.08E-01	9.99E-06	Intestinal mucosa	CTL
TMEM120B	3.22E-01	1.37E-05	Intestinal mucosa	CTL
GAB3	3.92E-01	1.62E-05	Intestinal mucosa	CTL
TGFBR1	5.06E-01	2.58E-05	Intestinal mucosa	CTL
CTD.2369P2.2	2.68E-01	3.63E-05	Intestinal mucosa	CTL
SBNO1	3.46E-01	3.81E-05	Intestinal mucosa	CTL
FMNL3	2.68E-01	4.74E-05	Intestinal mucosa	CTL
ERO1A	3.54E-01	4.88E-05	Intestinal mucosa	CTL
PSME2	3.69E-01	5.49E-05	Intestinal mucosa	CTL
CD101	4.68E-01	6.47E-05	Intestinal mucosa	CTL
TRGC1	2.72E-01	7.17E-05	Intestinal mucosa	CTL
TTI2	3.61E-01	9.01E-05	Intestinal mucosa	CTL
RP11.841O20.2	3.57E-01	1.03E-04	Intestinal mucosa	CTL
FKBP1A	4.29E-01	1.07E-04	Intestinal mucosa	CTL
NABP1	3.31E-01	1.13E-04	Intestinal mucosa	CTL
BUB3	2.53E-01	1.28E-04	Intestinal mucosa	CTL
FYN	3.77E-01	1.60E-04	Intestinal mucosa	CTL
LAG3	3.12E-01	1.65E-04	Intestinal mucosa	CTL
RHOF	2.87E-01	2.25E-04	Intestinal mucosa	CTL
CEPT1	2.56E-01	2.38E-04	Intestinal mucosa	CTL
TMEM33	3.38E-01	2.57E-04	Intestinal mucosa	CTL
FNBP1	3.28E-01	2.93E-04	Intestinal mucosa	CTL
IL18RAP	3.44E-01	3.06E-04	Intestinal mucosa	CTL
GUK1	3.39E-01	3.24E-04	Intestinal mucosa	CTL
AP1G1	2.89E-01	4.20E-04	Intestinal mucosa	CTL
TRGC2	5.15E-01	4.26E-04	Intestinal mucosa	CTL
ST3GAL5	3.32E-01	4.88E-04	Intestinal mucosa	CTL
KLRC1	3.54E-01	5.28E-04	Intestinal mucosa	CTL
DNAJC3	3.57E-01	6.14E-04	Intestinal mucosa	CTL
SLC35F6	3.29E-01	6.31E-04	Intestinal mucosa	CTL
GPR82	3.60E-01	6.73E-04	Intestinal mucosa	CTL
DTX3L	4.27E-01	7.17E-04	Intestinal mucosa	CTL
CD63	5.61E-01	9.29E-04	Intestinal mucosa	CTL
AP4B1	3.02E-01	9.53E-04	Intestinal mucosa	CTL
PTPN6	2.93E-01	1.20E-03	Intestinal mucosa	CTL
TROVE2	2.87E-01	1.49E-03	Intestinal mucosa	CTL
EIF1AD	3.55E-01	1.54E-03	Intestinal mucosa	CTL
C9orf78	4.05E-01	2.44E-03	Intestinal mucosa	CTL
PARP9	3.83E-01	3.13E-03	Intestinal mucosa	CTL
PLCG2	3.43E-01	4.57E-03	Intestinal mucosa	CTL
TMED2	3.23E-01	4.82E-03	Intestinal mucosa	CTL
SPN	3.05E-01	5.05E-03	Intestinal mucosa	CTL
FYCO1	2.60E-01	5.27E-03	Intestinal mucosa	CTL
XYLT2	2.86E-01	5.65E-03	Intestinal mucosa	CTL
AC020571.3	5.17E-01	5.86E-03	Intestinal mucosa	CTL
DHRS7	4.46E-01	7.16E-03	Intestinal mucosa	CTL
WDR41	4.20E-01	7.48E-03	Intestinal mucosa	CTL
CD9	5.51E-01	8.02E-03	Intestinal mucosa	CTL
TAPBP	2.81E-01	9.49E-03	Intestinal mucosa	CTL
SOCS1	3.59E-01	9.51E-03	Intestinal mucosa	CTL
ZSWIM1	3.15E-01	1.02E-02	Intestinal mucosa	CTL
TNFSF14	4.70E-01	1.16E-02	Intestinal mucosa	CTL
PSMA3	2.89E-01	1.21E-02	Intestinal mucosa	CTL
ANAPC11	4.20E-01	1.70E-02	Intestinal mucosa	CTL
GPR34	5.20E-01	1.73E-02	Intestinal mucosa	CTL
GYG1	5.52E-01	1.86E-02	Intestinal mucosa	CTL
GNGT2	4.30E-01	2.03E-02	Intestinal mucosa	CTL
PDIA3	2.79E-01	2.91E-02	Intestinal mucosa	CTL
MAN1A1	2.90E-01	3.13E-02	Intestinal mucosa	CTL
GSTP1	4.04E-01	3.50E-02	Intestinal mucosa	CTL
NOP10	2.90E-01	3.75E-02	Intestinal mucosa	CTL
MARCH2	3.11E-01	4.57E-02	Intestinal mucosa	CTL
DOCK5	3.62E-01	4.63E-02	Intestinal mucosa	CTL
SELL	1.17E+00	3.05E-97	Peripheral blood	Quiescent
CCR7	1.02E+00	5.98E-85	Peripheral blood	Quiescent
NOG	1.22E+00	5.86E-72	Peripheral blood	Quiescent
RP11.360D2.2	4.65E-01	7.01E-64	Peripheral blood	Quiescent
RP11.234A1.1	3.96E-01	6.32E-59	Peripheral blood	Quiescent
RP4.765C7.2	3.47E-01	2.27E-57	Peripheral blood	Quiescent
RPS27	3.81E-01	9.92E-57	Peripheral blood	Quiescent
RPS14P3	3.66E-01	1.43E-55	Peripheral blood	Quiescent
RP11.543P15.1	2.89E-01	4.01E-53	Peripheral blood	Quiescent
FAM65B	5.63E-01	1.78E-40	Peripheral blood	Quiescent
C16orf54	4.27E-01	1.47E-38	Peripheral blood	Quiescent
RPL34	3.88E-01	5.75E-37	Peripheral blood	Quiescent
RPS14	3.10E-01	4.93E-36	Peripheral blood	Quiescent
PCED1B.AS1	6.89E-01	1.32E-34	Peripheral blood	Quiescent
RPL18A	3.17E-01	2.83E-34	Peripheral blood	Quiescent
RPL3P4	3.10E-01	5.68E-34	Peripheral blood	Quiescent
RPS25	3.60E-01	6.06E-34	Peripheral blood	Quiescent
CDC42SE1	2.91E-01	2.47E-32	Peripheral blood	Quiescent
RPS18	3.27E-01	3.76E-31	Peripheral blood	Quiescent
RPL31	4.80E-01	1.59E-30	Peripheral blood	Quiescent
RPS28	4.60E-01	1.21E-29	Peripheral blood	Quiescent
RPL3	2.83E-01	1.49E-29	Peripheral blood	Quiescent
C1orf56	2.92E-01	4.64E-28	Peripheral blood	Quiescent
MYC	6.89E-01	2.67E-27	Peripheral blood	Quiescent
RPL23A	3.46E-01	3.09E-27	Peripheral blood	Quiescent
NOSIP	6.46E-01	4.69E-27	Peripheral blood	Quiescent
RP4.594I10.3	4.94E-01	6.23E-27	Peripheral blood	Quiescent
TMSB10	3.17E-01	1.23E-26	Peripheral blood	Quiescent
RCAN3	5.23E-01	1.94E-26	Peripheral blood	Quiescent
RPS6	3.42E-01	7.94E-26	Peripheral blood	Quiescent
RPL13A	3.40E-01	1.32E-24	Peripheral blood	Quiescent
LEF1	6.36E-01	2.79E-24	Peripheral blood	Quiescent
RPS15	4.14E-01	1.02E-23	Peripheral blood	Quiescent
RPL32	4.24E-01	2.28E-23	Peripheral blood	Quiescent
RPS11	2.84E-01	2.76E-23	Peripheral blood	Quiescent
RPL37A	4.97E-01	2.98E-23	Peripheral blood	Quiescent
RPL23	3.40E-01	7.86E-23	Peripheral blood	Quiescent
RPS29	4.15E-01	1.81E-22	Peripheral blood	Quiescent
RPL10P3	4.05E-01	6.72E-22	Peripheral blood	Quiescent
LDHB	5.55E-01	2.62E-20	Peripheral blood	Quiescent
IL6ST	4.22E-01	3.06E-20	Peripheral blood	Quiescent
AES	3.82E-01	6.01E-20	Peripheral blood	Quiescent
RPL13	3.01E-01	9.98E-20	Peripheral blood	Quiescent
RPL30	4.69E-01	4.54E-19	Peripheral blood	Quiescent
GIMAP7	3.68E-01	1.88E-18	Peripheral blood	Quiescent
TRABD2A	5.92E-01	4.56E-18	Peripheral blood	Quiescent
RPS3	3.16E-01	5.59E-18	Peripheral blood	Quiescent
RPS28P7	3.84E-01	7.57E-18	Peripheral blood	Quiescent
RPS13	4.57E-01	9.73E-18	Peripheral blood	Quiescent
RPS21	4.48E-01	9.78E-18	Peripheral blood	Quiescent
LINC00861	5.82E-01	5.17E-17	Peripheral blood	Quiescent
MDS2	5.25E-01	1.18E-16	Peripheral blood	Quiescent
RPL5	4.58E-01	1.90E-16	Peripheral blood	Quiescent
RASSF3	3.72E-01	3.96E-15	Peripheral blood	Quiescent
EIF2S3	3.18E-01	2.67E-14	Peripheral blood	Quiescent
LIMD2	3.14E-01	4.62E-14	Peripheral blood	Quiescent
RPL27A	3.37E-01	5.34E-14	Peripheral blood	Quiescent
RPL19	3.82E-01	7.94E-14	Peripheral blood	Quiescent
RPL15	2.99E-01	1.27E-13	Peripheral blood	Quiescent
RPS16	3.56E-01	1.41E-13	Peripheral blood	Quiescent
TOB1	4.13E-01	1.48E-13	Peripheral blood	Quiescent
RPS12	3.85E-01	1.70E-13	Peripheral blood	Quiescent
RPL14	3.64E-01	2.80E-13	Peripheral blood	Quiescent
